energy,data,uncert
24.7,8.02317477,0.359167046
24.8,8.07953497,0.361690078
24.9,8.13512168,0.364178484
25,8.18994618,0.356924406
25.1,8.24403348,0.359281574
25.2,8.2974638,0.36161011
25.3,8.35033103,0.363914107
25.4,8.40272906,0.366197655
25.5,8.4547518,0.368464847
25.6,8.50649314,0.370719776
25.7,8.55804699,0.372966534
25.8,8.60950723,0.375209213
25.9,8.66096777,0.377451904
26,8.71252251,0.379698701
26.1,8.76428262,0.381954448
26.2,8.81642813,0.384226991
26.3,8.86915634,0.386524929
26.4,8.92266455,0.388856859
26.5,8.97715008,0.391231382
26.6,9.03281022,0.393657096
26.7,9.08984227,0.396142598
26.8,9.14844354,0.398696488
26.9,9.20881134,0.401327365
27,9.27114296,0.404043827
27.1,9.33564658,0.406854946
27.2,9.40257321,0.409771663
27.3,9.4721847,0.412805387
27.4,9.54474294,0.415967533
27.5,9.62050979,0.419269513
27.6,9.69974713,0.42272274
27.7,9.78271682,0.426338625
27.8,9.86968074,0.430128582
27.9,9.96090076,0.434104024
28,10.05663872,0.438276361
28.1,10.15715176,0.442656799
28.2,10.26267862,0.447255744
28.3,10.37345327,0.452083392
28.4,10.48970968,0.45714994
28.5,10.61168183,0.462465583
28.6,10.7396037,0.468040521
28.7,10.87370925,0.473884948
28.8,11.01423248,0.480009063
28.9,11.16140734,0.486423061
29,11.31546784,0.493137141
29.1,11.476628,0.50016063
29.2,11.64502202,0.507499376
29.3,11.82076413,0.515158357
29.4,12.00396859,0.523142554
29.5,12.19474967,0.531456946
29.6,12.3932216,0.540106512
29.7,12.59949866,0.549096231
29.8,12.81369508,0.558431083
29.9,13.03592513,0.568116046
30,13.26630307,0.555173557
30.1,13.50492084,0.565159329
30.2,13.75178177,0.575490064
30.3,14.00686686,0.586164967
30.4,14.27015715,0.597183244
30.5,14.54163365,0.608544102
30.6,14.82127737,0.620246744
30.7,15.10906934,0.632290377
30.8,15.40499057,0.644674207
30.9,15.70902208,0.65739744
31,16.02114487,0.670459279
31.1,16.3413225,0.683858201
31.2,16.66944759,0.697589711
31.3,17.00539529,0.711648584
31.4,17.34904074,0.726029597
31.5,17.7002591,0.740727523
31.6,18.05892551,0.755737138
31.7,18.42491511,0.771053217
31.8,18.79810305,0.786670536
31.9,19.17836448,0.802583868
32,19.56557465,0.818787994
32.1,19.95959577,0.835277148
32.2,20.36023988,0.852043463
32.3,20.7673062,0.869078537
32.4,21.18059396,0.886373968
32.5,21.59990236,0.903921354
32.6,22.02503063,0.921712292
32.7,22.45577797,0.939738379
32.8,22.89194362,0.957991213
32.9,23.33332678,0.976462392
33,23.77972667,0.995143514
33.1,24.23094251,1.014026175
33.2,24.68677352,1.033101973
33.3,25.14701891,1.052362506
33.4,25.6114779,1.071799372
33.5,26.07994971,1.091404167
33.6,26.55223356,1.111168491
33.7,27.02812865,1.131083939
33.8,27.50743421,1.15114211
33.9,27.98994946,1.171334601
34,28.47547341,1.191653001
34.1,28.96380255,1.212088795
34.2,29.45472009,1.232632908
34.3,29.94800633,1.253276148
34.4,30.44344155,1.274009319
34.5,30.94080602,1.294823227
34.6,31.43988005,1.315708676
34.7,31.94044392,1.336656473
34.8,32.44227791,1.357657423
34.9,32.94516231,1.37870233
35,33.4488774,1.372889104
35.1,33.95320348,1.393588865
35.2,34.45792082,1.414304685
35.3,34.96280972,1.435027547
35.4,35.46765046,1.455748433
35.5,35.97222332,1.476458323
35.6,36.4763086,1.497148201
35.7,36.97968657,1.517809047
35.8,37.48213753,1.538431846
35.9,37.98344176,1.559007577
36,38.48337937,1.579527216
36.1,38.9817387,1.599982076
36.2,39.47833873,1.620364726
36.3,39.9730063,1.64066806
36.4,40.46556826,1.66088497
36.5,40.95585147,1.68100835
36.6,41.44368277,1.701031093
36.7,41.92888901,1.720946092
36.8,42.41129704,1.74074624
36.9,42.89073372,1.760424431
37,43.36702589,1.779973557
37.1,43.8400004,1.799386512
37.2,44.30948411,1.81865619
37.3,44.77530386,1.837775482
37.4,45.2372865,1.856737282
37.5,45.69525888,1.875534484
37.6,46.14904786,1.89415998
37.7,46.59848028,1.912606664
37.8,47.04338299,1.930867429
37.9,47.48358284,1.948935168
38,47.91890669,1.966802774
38.1,48.34919689,1.984463777
38.2,48.77435474,2.001914126
38.3,49.194298,2.019150445
38.4,49.60894393,2.036169338
38.5,50.01820984,2.052967412
38.6,50.42201299,2.06954127
38.7,50.82027066,2.085887517
38.8,51.21290015,2.102002759
38.9,51.59981872,2.117883599
39,51.98094366,2.133526644
39.1,52.35619225,2.148928497
39.2,52.72548177,2.164085764
39.3,53.0887295,2.178995049
39.4,53.44585272,2.193652957
39.5,53.79676872,2.208056094
39.6,54.14139477,2.222201063
39.7,54.47964815,2.236084471
39.8,54.81144615,2.24970292
39.9,55.13670605,2.263053018
40,55.45534511,2.274894713
40.1,55.76729624,2.287691603
40.2,56.07255374,2.300213907
40.3,56.37112759,2.312462033
40.4,56.66302774,2.32443639
40.5,56.94826415,2.336137387
40.6,57.22684675,2.34756543
40.7,57.49878551,2.358720929
40.8,57.76409036,2.369604291
40.9,58.02277126,2.380215925
41,58.27483815,2.390556238
41.1,58.52030099,2.400625639
41.2,58.75916972,2.410424536
41.3,58.99145429,2.419953337
41.4,59.21716466,2.42921245
41.5,59.43631076,2.438202284
41.6,59.64890255,2.446923245
41.7,59.85494997,2.455375743
41.8,60.05446298,2.463560186
41.9,60.24745152,2.471476981
42,60.43392555,2.479126537
42.1,60.61390499,2.486509672
42.2,60.78744901,2.493628812
42.3,60.95462689,2.5004868
42.4,61.11550786,2.507086475
42.5,61.27016113,2.513430677
42.6,61.41865593,2.519522245
42.7,61.56106147,2.52536402
42.8,61.69744698,2.53095884
42.9,61.82788166,2.536309544
43,61.95243475,2.541418974
43.1,62.07117545,2.546289966
43.2,62.18417299,2.550925363
43.3,62.29149658,2.555328002
43.4,62.39321545,2.559500724
43.5,62.48939881,2.563446367
43.6,62.58011588,2.567167772
43.7,62.66543588,2.570667777
43.8,62.74542803,2.573949223
43.9,62.82016155,2.577014949
44,62.88970566,2.579867795
44.1,62.95413215,2.582510704
44.2,63.01352474,2.584947113
44.3,63.06796973,2.587180561
44.4,63.11755341,2.589214588
44.5,63.16236208,2.591052733
44.6,63.20248203,2.592698538
44.7,63.23799956,2.594155542
44.8,63.26900096,2.595427284
44.9,63.29557253,2.596517306
45,63.31780056,2.564928119
45.1,63.33577135,2.565656094
45.2,63.3495712,2.56621511
45.3,63.3592864,2.566608661
45.4,63.36500324,2.566840243
45.5,63.36680803,2.566913353
45.6,63.36478705,2.566831486
45.7,63.3590266,2.566598137
45.8,63.34961299,2.566216803
45.9,63.33663249,2.565690978
46,63.32017142,2.56502416
46.1,63.30031457,2.564219783
46.2,63.27713968,2.563280996
46.3,63.25072288,2.562210883
46.4,63.22114035,2.56101253
46.5,63.18846827,2.559689023
46.6,63.15278284,2.55824345
46.7,63.11416023,2.556678894
46.8,63.07267664,2.554998443
46.9,63.02840824,2.553205184
47,62.98143122,2.551302201
47.1,62.93182178,2.549292582
47.2,62.87965609,2.547179413
47.3,62.82501033,2.544965778
47.4,62.76796071,2.542654767
47.5,62.70858339,2.540249463
47.6,62.64695456,2.537752953
47.7,62.58315042,2.535168324
47.8,62.51724715,2.532498661
47.9,62.44932092,2.529747051
48,62.37944794,2.526916581
48.1,62.3077008,2.52401019
48.2,62.2341383,2.521030262
48.3,62.15881569,2.517979033
48.4,62.08178818,2.514858741
48.5,62.003111,2.511671623
48.6,61.92283939,2.508419916
48.7,61.84102856,2.505105858
48.8,61.75773374,2.501731685
48.9,61.67301017,2.498299634
49,61.58691308,2.494811945
49.1,61.49949767,2.491270851
49.2,61.4108192,2.487678593
49.3,61.32093288,2.484037406
49.4,61.22989393,2.480349527
49.5,61.1377576,2.476617195
49.6,61.0445791,2.472842646
49.7,60.95041367,2.469028117
49.8,60.85531653,2.465175846
49.9,60.7593429,2.46128807
50,60.66254802,2.459308227
50.1,60.56498184,2.455352816
50.2,60.46667291,2.451367293
50.3,60.36764461,2.447352607
50.4,60.26792027,2.443309702
50.5,60.16752322,2.439239525
50.6,60.0664768,2.435143023
50.7,59.96480432,2.431021139
50.8,59.86252912,2.426874821
50.9,59.75967452,2.422705013
51,59.65626386,2.418512662
51.1,59.55232047,2.414298714
51.2,59.44786767,2.410064114
51.3,59.3429288,2.405809808
51.4,59.23752718,2.401536742
51.5,59.13168614,2.397245861
51.6,59.02542901,2.392938112
51.7,58.91877912,2.388614441
51.8,58.8117598,2.384275792
51.9,58.70439438,2.379923112
52,58.59670619,2.375557346
52.1,58.48871855,2.371179441
52.2,58.38045481,2.366790342
52.3,58.27193827,2.362390995
52.4,58.16319228,2.357982346
52.5,58.05424017,2.35356534
52.6,57.94510526,2.349140923
52.7,57.83581088,2.344710042
52.8,57.72638036,2.340273641
52.9,57.61683703,2.335832667
53,57.50720422,2.331388065
53.1,57.39750526,2.326940781
53.2,57.28776348,2.322491762
53.3,57.1780022,2.318041952
53.4,57.06824476,2.313592297
53.5,56.95851449,2.309143744
53.6,56.84883471,2.304697238
53.7,56.73922876,2.300253725
53.8,56.62971996,2.295814151
53.9,56.52033164,2.291379461
54,56.41108713,2.286950601
54.1,56.30200976,2.282528517
54.2,56.19312286,2.278114155
54.3,56.08444977,2.273708461
54.4,55.9760138,2.26931238
54.5,55.86783828,2.264926858
54.6,55.75994656,2.260552841
54.7,55.65236194,2.256191275
54.8,55.54510778,2.251843105
54.9,55.43820738,2.247509278
55,55.33168409,2.243190738
55.1,55.22555767,2.238888288
55.2,55.11983378,2.234602157
55.3,55.01451459,2.230332433
55.4,54.90960222,2.226079202
55.5,54.80509882,2.22184255
55.6,54.7010065,2.217622564
55.7,54.5973274,2.213419331
55.8,54.49406365,2.209232936
55.9,54.39121739,2.205063466
56,54.28879074,2.200911008
56.1,54.18678584,2.196775647
56.2,54.08520481,2.192657471
56.3,53.98404979,2.188556566
56.4,53.88332291,2.184473017
56.5,53.7830263,2.180406913
56.6,53.68316209,2.176358338
56.7,53.58373242,2.172327379
56.8,53.48473941,2.168314123
56.9,53.3861852,2.164318657
57,53.28807191,2.160341066
57.1,53.19040169,2.156381437
57.2,53.09317665,2.152439856
57.3,52.99639893,2.14851641
57.4,52.90007067,2.144611185
57.5,52.80419399,2.140724268
57.6,52.70877103,2.136855745
57.7,52.61380391,2.133005702
57.8,52.51929477,2.129174225
57.9,52.42524574,2.125361402
58,52.33165895,2.121567319
58.1,52.23853653,2.117792062
58.2,52.14588062,2.114035717
58.3,52.05369334,2.110298371
58.4,51.96197682,2.10658011
58.5,51.8707332,2.102881021
58.6,51.77996461,2.099201189
58.7,51.68967318,2.095540702
58.8,51.59986105,2.091899647
58.9,51.51053033,2.088278108
59,51.42168317,2.084676173
59.1,51.33332169,2.081093928
59.2,51.24544803,2.077531459
59.3,51.15806431,2.073988854
59.4,51.07117268,2.070466197
59.5,50.98477526,2.066963577
59.6,50.89887417,2.063481078
59.7,50.81347156,2.060018788
59.8,50.72856956,2.056576793
59.9,50.64417029,2.053155179
60,50.56027588,2.069695005
60.1,50.47688806,2.066281508
60.2,50.39400528,2.062888685
60.3,50.31162588,2.059516468
60.4,50.22974806,2.056164783
60.5,50.14837,2.052833556
60.6,50.06748991,2.049522713
60.7,49.98710597,2.04623218
60.8,49.90721638,2.042961884
60.9,49.82781932,2.039711749
61,49.748913,2.036481703
61.1,49.67049561,2.033271672
61.2,49.59256533,2.03008158
61.3,49.51512036,2.026911355
61.4,49.43815889,2.023760922
61.5,49.36167912,2.020630207
61.6,49.28567923,2.017519136
61.7,49.21015743,2.014427636
61.8,49.1351119,2.011355633
61.9,49.06054084,2.008303051
62,48.98644243,2.005269818
62.1,48.91281487,2.002255859
62.2,48.83965636,1.999261101
62.3,48.76696509,1.996285469
62.4,48.69473924,1.99332889
62.5,48.62297702,1.990391289
62.6,48.55167661,1.987472592
62.7,48.4808362,1.984572726
62.8,48.410454,1.981691617
62.9,48.34052819,1.97882919
63,48.27105696,1.975985371
63.1,48.20203851,1.973160087
63.2,48.13347103,1.970353263
63.3,48.06535272,1.967564827
63.4,47.99768176,1.964794702
63.5,47.93045634,1.962042816
63.6,47.86367467,1.959309095
63.7,47.79733493,1.956593465
63.8,47.73143532,1.953895851
63.9,47.66597403,1.95121618
64,47.60094924,1.948554377
64.1,47.53635916,1.945910369
64.2,47.47220198,1.943284082
64.3,47.40847589,1.940675442
64.4,47.34517908,1.938084375
64.5,47.28230974,1.935510806
64.6,47.21986607,1.932954662
64.7,47.15784626,1.930415868
64.8,47.0962485,1.927894352
64.9,47.03507099,1.925390038
65,46.97431192,1.922902853
65.1,46.91396961,1.920432729
65.2,46.85404359,1.917979645
65.3,46.79453334,1.915543581
65.4,46.73543841,1.913124518
65.5,46.6767584,1.91072244
65.6,46.61849285,1.908337329
65.7,46.56064134,1.905969165
65.8,46.50320343,1.903617933
65.9,46.4461787,1.901283614
66,46.38956672,1.898966192
66.1,46.33336704,1.896665646
66.2,46.27757924,1.894381962
66.3,46.22220289,1.89211512
66.4,46.16723755,1.889865103
66.5,46.11268279,1.887631893
66.6,46.05853819,1.885415473
66.7,46.0048033,1.883215824
66.8,45.9514777,1.88103293
66.9,45.89856095,1.878866772
67,45.84605263,1.876717334
67.1,45.79395229,1.874584596
67.2,45.74225951,1.872468541
67.3,45.69097386,1.870369153
67.4,45.6400949,1.868286413
67.5,45.58962221,1.866220303
67.6,45.53955534,1.864170806
67.7,45.48989388,1.862137904
67.8,45.44063737,1.860121579
67.9,45.39178541,1.858121814
68,45.34333754,1.856138591
68.1,45.29529335,1.854171892
68.2,45.24765239,1.8522217
68.3,45.20041424,1.850287997
68.4,45.15357846,1.848370765
68.5,45.10714462,1.846469986
68.6,45.0611123,1.844585644
68.7,45.01548105,1.84271772
68.8,44.97025045,1.840866196
68.9,44.92542006,1.839031055
69,44.88098945,1.837212279
69.1,44.83695819,1.835409851
69.2,44.79332585,1.833623752
69.3,44.750092,1.831853966
69.4,44.7072562,1.830100474
69.5,44.66481802,1.828363259
69.6,44.62277703,1.826642302
69.7,44.5811328,1.824937587
69.8,44.53988489,1.823249096
69.9,44.49903288,1.821576811
70,44.45857633,1.811838145
70.1,44.41851404,1.81020547
70.2,44.37884295,1.808588738
70.3,44.339559,1.806987784
70.4,44.30065822,1.805402445
70.5,44.26213667,1.803832561
70.6,44.2239904,1.80227797
70.7,44.18621545,1.800738513
70.8,44.14880789,1.799214027
70.9,44.11176375,1.797704353
71,44.07507909,1.796209328
71.1,44.03874995,1.794728792
71.2,44.00277239,1.793262584
71.3,43.96714246,1.791810544
71.4,43.9318562,1.790372508
71.5,43.89690967,1.788948319
71.6,43.86229891,1.787537812
71.7,43.82801998,1.786140829
71.8,43.79406892,1.784757208
71.9,43.76044179,1.783386788
72,43.72713463,1.782029408
