energy,data,uncert
4,0.01,0.001
4.1,0.11,0.01
4.2,2.2,0.22
4.3,6.09,0.61
4.4,11.54,1.15
4.5,18.25,1.82
4.6,25.83,2.58
4.7,34.01,3.4
4.8,42.56,4.26
4.9,51.23,5.12
5,59.8,3.58
5.1,68.07,4.08
5.2,76,4.55
5.3,83.62,5.01
5.4,90.92,5.45
5.5,97.92,5.87
5.6,104.63,6.27
5.7,111.07,6.65
5.8,117.23,7.02
5.9,123.14,7.38
6,128.81,6.56
6.1,134.24,6.83
6.2,139.45,7.1
6.3,144.48,7.36
6.4,149.32,7.6
6.5,154.02,7.84
6.6,158.58,8.07
6.7,163.03,8.3
6.8,167.38,8.52
6.9,171.67,8.74
7,175.9,8.36
7.1,180.1,8.56
7.2,184.27,8.76
7.3,188.42,8.96
7.4,192.54,9.15
7.5,196.66,9.35
7.6,200.76,9.54
7.7,204.85,9.74
7.8,208.94,9.93
7.9,213.03,10.13
8,217.12,10.22
8.1,221.22,10.41
8.2,225.33,10.6
8.3,229.44,10.8
8.4,233.56,10.99
8.5,237.68,11.19
8.6,241.81,11.38
8.7,245.94,11.57
8.8,250.07,11.77
8.9,254.2,11.96
9,258.34,12.17
9.1,262.47,12.37
9.2,266.6,12.56
9.3,270.71,12.75
9.4,274.8,12.95
9.5,278.86,13.14
9.6,282.89,13.33
9.7,286.88,13.52
9.8,290.81,13.7
9.9,294.69,13.89
10,298.51,14.03
10.1,302.26,14.21
10.2,305.92,14.38
10.3,309.49,14.55
10.4,312.95,14.71
10.5,316.29,14.87
10.6,319.49,15.02
10.7,322.54,15.16
10.8,325.44,15.3
10.9,328.16,15.43
11,330.69,15.55
11.1,333.03,15.66
11.2,335.16,15.76
11.3,337.06,15.85
11.4,338.73,15.92
11.5,340.15,15.99
11.6,341.31,16.05
11.7,342.21,16.09
11.8,342.82,16.12
11.9,343.14,16.13
12,343.15,16.17
12.1,342.85,16.15
12.2,342.23,16.13
12.3,341.3,16.08
12.4,340.06,16.02
12.5,338.5,15.95
12.6,336.64,15.86
12.7,334.47,15.76
12.8,331.99,15.64
12.9,329.2,15.51
13,326.11,15.37
13.1,322.72,15.21
13.2,319.05,15.03
13.3,315.1,14.85
13.4,310.91,14.65
13.5,306.47,14.44
13.6,301.82,14.22
13.7,296.96,13.99
13.8,291.92,13.75
13.9,286.7,13.51
14,281.33,13.44
14.1,275.82,13.17
14.2,270.19,12.9
14.3,264.46,12.63
14.4,258.63,12.35
14.5,252.74,12.07
14.6,246.8,11.79
14.7,240.83,11.5
14.8,234.83,11.22
14.9,228.84,10.93
15,222.86,10.64
15.1,216.92,10.36
15.2,211.02,10.08
15.3,205.17,9.8
15.4,199.38,9.52
15.5,193.66,9.25
15.6,188.01,8.98
15.7,182.45,8.71
15.8,176.98,8.45
15.9,171.6,8.2
16,166.34,7.94
16.1,161.19,7.69
16.2,156.15,7.45
16.3,151.24,7.22
16.4,146.44,6.99
16.5,141.76,6.76
16.6,137.2,6.55
16.7,132.76,6.33
16.8,128.44,6.13
16.9,124.25,5.93
17,120.18,5.73
17.1,116.23,5.54
17.2,112.4,5.36
17.3,108.69,5.19
17.4,105.09,5.01
17.5,101.62,4.85
17.6,98.25,4.69
17.7,95,4.53
17.8,91.85,4.38
17.9,88.81,4.24
18,85.88,4.1
18.1,83.05,3.96
18.2,80.31,3.83
18.3,77.68,3.71
18.4,75.14,3.58
18.5,72.69,3.47
18.6,70.33,3.36
18.7,68.06,3.25
18.8,65.87,3.14
18.9,63.76,3.04
19,61.74,2.95
19.1,59.79,2.85
19.2,57.92,2.76
19.3,56.12,2.68
19.4,54.39,2.6
19.5,52.74,2.52
19.6,51.15,2.44
19.7,49.62,2.37
19.8,48.16,2.3
19.9,46.75,2.23
20,45.41,2.16
20.1,44.12,2.1
20.2,42.89,2.04
20.3,41.72,1.99
