energy,data,uncert
13,0.13,0.1
13.1,0.11,0.08
13.2,0.1,0.07
13.3,0.1,0.07
13.4,0.12,0.09
13.5,0.16,0.12
13.6,0.24,0.17
13.7,0.35,0.26
13.8,0.5,0.37
13.9,0.7,0.52
14,0.96,0.27
14.1,1.28,0.35
14.2,1.65,0.46
14.3,2.09,0.58
14.4,2.59,0.72
14.5,3.15,0.87
14.6,3.77,1.05
14.7,4.44,1.23
14.8,5.18,1.44
14.9,5.97,1.66
15,6.82,0.77
15.1,7.73,0.87
15.2,8.69,0.98
15.3,9.7,1.09
15.4,10.75,1.21
15.5,11.84,1.33
15.6,12.96,1.46
15.7,14.11,1.59
15.8,15.29,1.72
15.9,16.48,1.85
16,17.69,1.07
16.1,18.91,1.14
16.2,20.13,1.22
16.3,21.36,1.29
16.4,22.59,1.36
16.5,23.81,1.44
16.6,25.03,1.51
16.7,26.25,1.58
16.8,27.45,1.66
16.9,28.65,1.73
17,29.82,1.7
17.1,30.99,1.77
17.2,32.13,1.83
17.3,33.25,1.9
17.4,34.36,1.96
17.5,35.44,2.02
17.6,36.51,2.08
17.7,37.56,2.14
17.8,38.59,2.2
17.9,39.6,2.26
18,40.6,2.22
18.1,41.57,2.27
18.2,42.52,2.32
18.3,43.45,2.37
18.4,44.37,2.42
18.5,45.27,2.47
18.6,46.15,2.52
18.7,47.01,2.57
18.8,47.86,2.61
18.9,48.69,2.66
19,49.5,2.7
19.1,50.31,2.75
19.2,51.09,2.79
19.3,51.86,2.83
19.4,52.62,2.87
19.5,53.37,2.92
19.6,54.1,2.96
19.7,54.82,2.99
19.8,55.53,3.03
19.9,56.22,3.07
20,56.9,3
20.1,57.57,3.04
20.2,58.23,3.07
20.3,58.88,3.11
20.4,59.51,3.14
20.5,60.13,3.17
20.6,60.74,3.2
20.7,61.34,3.24
20.8,61.93,3.27
20.9,62.5,3.3
21,63.06,3.33
21.1,63.61,3.36
21.2,64.14,3.38
21.3,64.66,3.41
21.4,65.16,3.44
21.5,65.65,3.46
21.6,66.13,3.49
21.7,66.58,3.51
21.8,67.02,3.54
21.9,67.45,3.56
22,67.85,3.62
22.1,68.24,3.64
22.2,68.61,3.66
22.3,68.96,3.68
22.4,69.28,3.7
22.5,69.59,3.71
22.6,69.87,3.73
22.7,70.13,3.74
22.8,70.37,3.75
22.9,70.58,3.77
23,70.76,3.78
23.1,70.92,3.78
23.2,71.06,3.79
23.3,71.16,3.8
23.4,71.24,3.8
23.5,71.29,3.8
23.6,71.31,3.8
23.7,71.3,3.8
23.8,71.26,3.8
23.9,71.2,3.8
24,71.1,3.6
24.1,70.96,3.6
24.2,70.8,3.59
24.3,70.61,3.58
24.4,70.39,3.57
24.5,70.13,3.55
24.6,69.85,3.54
24.7,69.53,3.52
24.8,69.19,3.51
24.9,68.81,3.49
25,68.41,3.47
25.1,67.97,3.44
25.2,67.51,3.42
25.3,67.02,3.4
25.4,66.51,3.37
25.5,65.97,3.34
25.6,65.4,3.31
25.7,64.81,3.28
25.8,64.2,3.25
25.9,63.57,3.22
26,62.92,3.09
26.1,62.25,3.06
26.2,61.57,3.02
26.3,60.86,2.99
26.4,60.14,2.95
26.5,59.41,2.92
26.6,58.66,2.88
26.7,57.91,2.84
26.8,57.14,2.81
26.9,56.36,2.77
27,55.58,2.73
27.1,54.79,2.69
27.2,54,2.65
27.3,53.2,2.61
27.4,52.4,2.57
27.5,51.6,2.53
27.6,50.8,2.5
27.7,50,2.46
27.8,49.2,2.42
27.9,48.41,2.38
28,47.63,2.34
28.1,46.85,2.3
28.2,46.07,2.26
28.3,45.31,2.23
28.4,44.55,2.19
28.5,43.8,2.15
28.6,43.06,2.11
28.7,42.33,2.08
28.8,41.6,2.04
28.9,40.89,2.01
29,40.18,1.97
29.1,39.49,1.94
29.2,38.8,1.91
29.3,38.13,1.87
29.4,37.47,1.84
29.5,36.82,1.81
29.6,36.18,1.78
29.7,35.55,1.75
29.8,34.93,1.72
29.9,34.33,1.69
30,33.74,1.73
30.1,33.16,1.7
30.2,32.6,1.67
30.3,32.05,1.65
30.4,31.51,1.62
30.5,30.99,1.59
30.6,30.48,1.56
30.7,29.97,1.54
30.8,29.49,1.51
30.9,29.01,1.49
31,28.54,1.47
31.1,28.09,1.44
31.2,27.65,1.42
31.3,27.21,1.4
31.4,26.79,1.38
31.5,26.38,1.35
31.6,25.98,1.33
31.7,25.59,1.31
31.8,25.21,1.29
31.9,24.84,1.28
32,24.48,1.26
32.1,24.12,1.24
32.2,23.78,1.22
32.3,23.45,1.2
32.4,23.12,1.19
32.5,22.81,1.17
32.6,22.5,1.16
32.7,22.2,1.14
32.8,21.91,1.12
32.9,21.62,1.11
33,21.35,1.1
33.1,21.08,1.08
33.2,20.81,1.07
33.3,20.56,1.06
33.4,20.31,1.04
33.5,20.07,1.03
33.6,19.84,1.02
33.7,19.61,1.01
33.8,19.39,1
33.9,19.17,0.98
34,18.96,0.97
34.1,18.76,0.96
34.2,18.56,0.95
34.3,18.37,0.94
34.4,18.18,0.93
34.5,18,0.92
34.6,17.82,0.92
