energy,data,uncert
29.2,8.84,0.38
29.3,8.8,0.38
29.4,8.76,0.38
29.5,8.73,0.37
29.6,8.69,0.37
29.7,8.66,0.37
29.8,8.63,0.37
29.9,8.59,0.37
30,8.56,0.37
30.1,8.53,0.37
30.2,8.49,0.36
30.3,8.46,0.36
30.4,8.43,0.36
30.5,8.4,0.36
30.6,8.37,0.36
30.7,8.33,0.36
30.8,8.3,0.36
30.9,8.27,0.36
31,8.24,0.35
31.1,8.21,0.35
31.2,8.18,0.35
31.3,8.15,0.35
31.4,8.12,0.35
31.5,8.09,0.35
31.6,8.07,0.35
31.7,8.04,0.35
31.8,8.01,0.34
31.9,7.98,0.34
32,7.95,0.34
32.1,7.92,0.34
32.2,7.9,0.34
32.3,7.87,0.34
32.4,7.84,0.34
32.5,7.82,0.34
32.6,7.79,0.33
32.7,7.76,0.33
32.8,7.74,0.33
32.9,7.71,0.33
33,7.68,0.33
33.1,7.66,0.33
33.2,7.63,0.33
33.3,7.61,0.33
33.4,7.58,0.33
33.5,7.56,0.32
33.6,7.53,0.32
33.7,7.51,0.32
33.8,7.48,0.32
33.9,7.46,0.32
34,7.43,0.32
34.1,7.41,0.32
34.2,7.39,0.32
34.3,7.36,0.32
34.4,7.34,0.32
34.5,7.32,0.31
34.6,7.29,0.31
34.7,7.27,0.31
34.8,7.25,0.31
34.9,7.22,0.31
35,7.2,0.31
35.1,7.18,0.31
35.2,7.15,0.31
35.3,7.13,0.31
35.4,7.11,0.31
35.5,7.09,0.31
35.6,7.07,0.3
35.7,7.04,0.3
35.8,7.02,0.3
35.9,7,0.3
36,6.98,0.3
36.1,6.96,0.3
36.2,6.94,0.3
36.3,6.92,0.3
36.4,6.89,0.3
36.5,6.87,0.3
36.6,6.85,0.29
36.7,6.83,0.29
36.8,6.81,0.29
36.9,6.79,0.29
37,6.77,0.29
37.1,6.75,0.29
37.2,6.73,0.29
37.3,6.71,0.29
37.4,6.69,0.29
37.5,6.67,0.29
37.6,6.65,0.29
37.7,6.63,0.29
37.8,6.61,0.28
37.9,6.59,0.28
38,6.57,0.28
38.1,6.55,0.28
38.2,6.53,0.28
38.3,6.52,0.28
38.4,6.5,0.28
38.5,6.48,0.28
38.6,6.46,0.28
38.7,6.44,0.28
38.8,6.42,0.28
38.9,6.4,0.28
39,6.39,0.27
39.1,6.37,0.27
39.2,6.35,0.27
39.3,6.33,0.27
39.4,6.31,0.27
39.5,6.3,0.27
39.6,6.28,0.27
39.7,6.26,0.27
39.8,6.24,0.27
39.9,6.22,0.27
40,6.21,0.27
40.1,6.19,0.27
40.2,6.17,0.27
